seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
0,1777463529808235983,1777463529822447757,14211774
1,1777463529832610634,1777463529841666441,9055807
2,1777463529851924986,1777463529902048904,50123918
3,1777463529912188096,1777463529922845249,10657153
4,1777463529933022255,1777463529974011120,40988865
5,1777463529984135751,1777463530011642099,27506348
6,1777463530021793810,1777463530059704710,37910900
7,1777463530069918508,1777463530079023724,9105216
8,1777463530089186918,1777463530128918940,39732022
9,1777463530139148047,1777463530147650308,8502261
10,1777463530157802513,1777463530178145881,20343368
11,1777463530188276117,1777463530213272931,24996814
12,1777463530223396286,1777463530264310300,40914014
13,1777463530274568029,1777463530291213005,16644976
14,1777463530301359698,1777463530313852137,12492439
15,1777463530324040057,1777463530333573388,9533331
16,1777463530343694187,1777463530353094156,9399969
17,1777463530363285910,1777463530368782735,5496825
18,1777463530378993568,1777463530415419237,36425669
19,1777463530425556190,1777463530430301955,4745765
20,1777463530440431309,1777463530449593642,9162333
21,1777463530459818700,1777463530469527148,9708448
22,1777463530479776169,1777463530500683448,20907279
23,1777463530510833170,1777463530521446106,10612936
24,1777463530531584822,1777463530543562404,11977582
25,1777463530553821530,1777463530567496198,13674668
26,1777463530577638485,1777463530640182784,62544299
27,1777463530650374660,1777463530661968653,11593993
28,1777463530672168675,1777463530699962214,27793539
29,1777463530710180525,1777463530793167435,82986910
30,1777463530803398006,1777463530807264542,3866536
31,1777463530817473926,1777463530878375815,60901889
32,1777463530888544972,1777463530898059801,9514829
33,1777463530908337475,1777463530915556233,7218758
34,1777463530925701129,1777463530928594084,2892955
35,1777463530938802886,1777463530947046735,8243849
36,1777463530957183055,1777463530967744273,10561218
37,1777463530977955383,1777463530982953164,4997781
38,1777463530993184678,1777463531003892479,10707801
39,1777463531014121912,1777463531028388740,14266828
40,1777463531038615661,1777463531044460041,5844380
41,1777463531054683662,1777463531069268216,14584554
42,1777463531079516509,1777463531086393314,6876805
43,1777463531096618888,1777463531102881226,6262338
44,1777463531113031644,1777463531123500523,10468879
45,1777463531133711321,1777463531142958236,9246915
46,1777463531153241726,1777463531163340696,10098970
47,1777463531173521172,1777463531176008694,2487522
48,1777463531186261001,1777463531208515113,22254112
49,1777463531218801055,1777463531236283915,17482860
50,1777463531246507745,1777463531250684356,4176611
51,1777463531260822784,1777463531268384501,7561717
52,1777463531278523072,1777463531288751872,10228800
53,1777463531298980293,1777463531325116384,26136091
54,1777463531335268488,1777463531339871628,4603140
55,1777463531350057112,1777463531356590484,6533372
56,1777463531366826015,1777463531369815987,2989972
57,1777463531380036689,1777463531392929968,12893279
58,1777463531403049312,1777463531417627874,14578562
