seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
0,1777463858935380088,1777463858937657176,2277088
1,1777463858947800890,1777463858963774387,15973497
2,1777463858974093818,1777463858982027523,7933705
3,1777463858992271989,1777463859015277102,23005113
4,1777463859025442126,1777463859029323415,3881289
5,1777463859039467077,1777463859044352675,4885598
6,1777463859054528527,1777463859059846409,5317882
7,1777463859070051434,1777463859072039725,1988291
8,1777463859082196890,1777463859083684808,1487918
9,1777463859093855887,1777463859107269243,13413356
10,1777463859117400808,1777463859135288908,17888100
11,1777463859145433257,1777463859150603912,5170655
12,1777463859160862124,1777463859170664146,9802022
13,1777463859180988506,1777463859186430491,5441985
14,1777463859196700251,1777463859214039172,17338921
15,1777463859224220764,1777463859234726260,10505496
16,1777463859244942733,1777463859266530092,21587359
17,1777463859276686724,1777463859333545652,56858928
18,1777463859343764450,1777463859348787214,5022764
19,1777463859358953618,1777463859376368164,17414546
20,1777463859386525296,1777463859392085814,5560518
21,1777463859402254198,1777463859412666826,10412628
22,1777463859422810578,1777463859427389860,4579282
23,1777463859437524527,1777463859440316262,2791735
24,1777463859450515490,1777463859471200700,20685210
25,1777463859481349615,1777463859490346167,8996552
26,1777463859500515400,1777463859509700388,9184988
27,1777463859519970926,1777463859544876024,24905098
28,1777463859555062659,1777463859557028807,1966148
29,1777463859567175237,1777463859573674476,6499239
30,1777463859583979695,1777463859594460041,10480346
31,1777463859604592129,1777463859617618664,13026535
32,1777463859627798382,1777463859643271678,15473296
33,1777463859653456959,1777463859677389619,23932660
34,1777463859687556733,1777463859698635931,11079198
35,1777463859708797465,1777463859725556695,16759230
36,1777463859735714480,1777463859743658517,7944037
37,1777463859753913977,1777463859756101571,2187594
38,1777463859766236367,1777463859774258010,8021643
39,1777463859784384321,1777463859787482507,3098186
40,1777463859797723955,1777463859799340639,1616684
41,1777463859809586341,1777463859819571097,9984756
42,1777463859829707620,1777463859835367327,5659707
43,1777463859845610087,1777463859850938161,5328074
44,1777463859861310109,1777463859875478617,14168508
45,1777463859885612597,1777463859887246696,1634099
46,1777463859897399802,1777463859901394171,3994369
47,1777463859911658805,1777463859927759478,16100673
48,1777463859937899654,1777463859949885748,11986094
49,1777463859960053515,1777463859962045542,1992027
50,1777463859972249438,1777463859998998945,26749507
51,1777463860009264619,1777463860029056017,19791398
52,1777463860039526425,1777463860051100282,11573857
53,1777463860061273791,1777463860063226920,1953129
54,1777463860073463970,1777463860083720038,10256068
55,1777463860094031355,1777463860095823094,1791739
56,1777463860105992670,1777463860107617695,1625025
57,1777463860117745613,1777463860133335890,15590277
58,1777463860143509613,1777463860154161923,10652310
59,1777463860164367440,1777463860165993345,1625905
60,1777463860176224022,1777463860229260532,53036510
61,1777463860239520972,1777463860246527156,7006184
62,1777463860256725043,1777463860258584965,1859922
